T(K)        G1/(RT)
1.30000e+03 2.15043735e+01
1.32362e+03 2.10660136e+01
1.34724e+03 2.06430232e+01
1.37085e+03 2.02346080e+01
1.39447e+03 1.98400274e+01
1.41809e+03 1.94585901e+01
1.44171e+03 1.90896503e+01
1.46533e+03 1.87326036e+01
1.48894e+03 1.83868841e+01
1.51256e+03 1.80519611e+01
1.53618e+03 1.77273367e+01
1.55980e+03 1.74125431e+01
1.58342e+03 1.71071403e+01
1.60704e+03 1.68107144e+01
1.63065e+03 1.65228752e+01
1.65427e+03 1.62432550e+01
1.67789e+03 1.59715067e+01
1.70151e+03 1.57073025e+01
1.72513e+03 1.54503326e+01
1.74874e+03 1.52003038e+01
1.77236e+03 1.49569386e+01
1.79598e+03 1.47199742e+01
1.81960e+03 1.44891614e+01
1.84322e+03 1.42642636e+01
1.86683e+03 1.40450563e+01
1.89045e+03 1.38313263e+01
1.91407e+03 1.36228708e+01
1.93769e+03 1.34194970e+01
1.96131e+03 1.32210212e+01
1.98492e+03 1.30272686e+01
2.00854e+03 1.28380727e+01
2.03216e+03 1.26532745e+01
2.05578e+03 1.24727224e+01
2.07940e+03 1.22962718e+01
2.10302e+03 1.21237845e+01
2.12663e+03 1.19551284e+01
2.15025e+03 1.17901774e+01
2.17387e+03 1.16288105e+01
2.19749e+03 1.14709124e+01
2.22111e+03 1.13163722e+01
2.24472e+03 1.11650841e+01
2.26834e+03 1.10169464e+01
2.29196e+03 1.08718617e+01
2.31558e+03 1.07297367e+01
2.33920e+03 1.05904817e+01
2.36281e+03 1.04540106e+01
2.38643e+03 1.03202407e+01
2.41005e+03 1.01890927e+01
2.43367e+03 1.00604902e+01
2.45729e+03 9.93435977e+00
2.48090e+03 9.81063088e+00
2.50452e+03 9.68923557e+00
2.52814e+03 9.57010842e+00
2.55176e+03 9.45318647e+00
2.57538e+03 9.33840903e+00
2.59899e+03 9.22571765e+00
2.62261e+03 9.11505597e+00
2.64623e+03 9.00636964e+00
2.66985e+03 8.89960623e+00
2.69347e+03 8.79471517e+00
2.71709e+03 8.69164763e+00
2.74070e+03 8.59035646e+00
2.76432e+03 8.49079613e+00
2.78794e+03 8.39292266e+00
2.81156e+03 8.29669354e+00
2.83518e+03 8.20206766e+00
2.85879e+03 8.10900530e+00
2.88241e+03 8.01746802e+00
2.90603e+03 7.92741864e+00
2.92965e+03 7.83882116e+00
2.95327e+03 7.75164077e+00
2.97688e+03 7.66584372e+00
3.00050e+03 7.58139735e+00
3.02412e+03 7.49827002e+00
3.04774e+03 7.41643106e+00
3.07136e+03 7.33585075e+00
3.09497e+03 7.25650028e+00
3.11859e+03 7.17835170e+00
3.14221e+03 7.10137790e+00
3.16583e+03 7.02555261e+00
3.18945e+03 6.95085030e+00
3.21307e+03 6.87724621e+00
3.23668e+03 6.80471629e+00
3.26030e+03 6.73323722e+00
3.28392e+03 6.66278630e+00
3.30754e+03 6.59334152e+00
3.33116e+03 6.52488147e+00
3.35477e+03 6.45738536e+00
3.37839e+03 6.39083297e+00
3.40201e+03 6.32520465e+00
3.42563e+03 6.26048128e+00
3.44925e+03 6.19664427e+00
3.47286e+03 6.13367555e+00
3.49648e+03 6.07155750e+00
3.52010e+03 6.01027302e+00
3.54372e+03 5.94980543e+00
3.56734e+03 5.89013852e+00
3.59095e+03 5.83125647e+00
3.61457e+03 5.77314391e+00
3.63819e+03 5.71578585e+00
3.66181e+03 5.65916769e+00
3.68543e+03 5.60327521e+00
3.70905e+03 5.54809454e+00
3.73266e+03 5.49361217e+00
3.75628e+03 5.43981493e+00
3.77990e+03 5.38668997e+00
3.80352e+03 5.33422478e+00
3.82714e+03 5.28240714e+00
3.85075e+03 5.23122513e+00
3.87437e+03 5.18066713e+00
3.89799e+03 5.13072180e+00
3.92161e+03 5.08137807e+00
3.94523e+03 5.03262512e+00
3.96884e+03 4.98445242e+00
3.99246e+03 4.93684967e+00
4.01608e+03 4.88980681e+00
4.03970e+03 4.84331403e+00
4.06332e+03 4.79736172e+00
4.08693e+03 4.75194052e+00
4.11055e+03 4.70704128e+00
4.13417e+03 4.66265505e+00
4.15779e+03 4.61877308e+00
4.18141e+03 4.57538684e+00
4.20503e+03 4.53248796e+00
4.22864e+03 4.49006829e+00
4.25226e+03 4.44811984e+00
4.27588e+03 4.40663480e+00
4.29950e+03 4.36560553e+00
4.32312e+03 4.32502456e+00
4.34673e+03 4.28488459e+00
4.37035e+03 4.24517847e+00
4.39397e+03 4.20589919e+00
4.41759e+03 4.16703992e+00
4.44121e+03 4.12859395e+00
4.46482e+03 4.09055473e+00
4.48844e+03 4.05291583e+00
4.51206e+03 4.01567096e+00
4.53568e+03 3.97881398e+00
4.55930e+03 3.94233885e+00
4.58291e+03 3.90623967e+00
4.60653e+03 3.87051066e+00
4.63015e+03 3.83514615e+00
4.65377e+03 3.80014059e+00
4.67739e+03 3.76548855e+00
4.70101e+03 3.73118469e+00
4.72462e+03 3.69722381e+00
4.74824e+03 3.66360076e+00
4.77186e+03 3.63031055e+00
4.79548e+03 3.59734826e+00
4.81910e+03 3.56470906e+00
4.84271e+03 3.53238822e+00
4.86633e+03 3.50038111e+00
4.88995e+03 3.46868318e+00
4.91357e+03 3.43728998e+00
4.93719e+03 3.40619714e+00
4.96080e+03 3.37540035e+00
4.98442e+03 3.34489542e+00
5.00804e+03 3.31467821e+00
5.03166e+03 3.28474468e+00
5.05528e+03 3.25509084e+00
5.07889e+03 3.22571280e+00
5.10251e+03 3.19660673e+00
5.12613e+03 3.16776886e+00
5.14975e+03 3.13919550e+00
5.17337e+03 3.11088304e+00
5.19698e+03 3.08282792e+00
5.22060e+03 3.05502664e+00
5.24422e+03 3.02747577e+00
5.26784e+03 3.00017195e+00
5.29146e+03 2.97311187e+00
5.31508e+03 2.94629227e+00
5.33869e+03 2.91970997e+00
5.36231e+03 2.89336184e+00
5.38593e+03 2.86724478e+00
5.40955e+03 2.84135578e+00
5.43317e+03 2.81569186e+00
5.45678e+03 2.79025010e+00
5.48040e+03 2.76502762e+00
5.50402e+03 2.74002160e+00
5.52764e+03 2.71522927e+00
5.55126e+03 2.69064791e+00
5.57487e+03 2.66627482e+00
5.59849e+03 2.64210737e+00
5.62211e+03 2.61814298e+00
5.64573e+03 2.59437909e+00
5.66935e+03 2.57081319e+00
5.69296e+03 2.54744283e+00
5.71658e+03 2.52426558e+00
5.74020e+03 2.50127906e+00
5.76382e+03 2.47848091e+00
5.78744e+03 2.45586884e+00
5.81106e+03 2.43344058e+00
5.83467e+03 2.41119389e+00
5.85829e+03 2.38912658e+00
5.88191e+03 2.36723649e+00
5.90553e+03 2.34552149e+00
5.92915e+03 2.32397948e+00
5.95276e+03 2.30260842e+00
5.97638e+03 2.28140627e+00
6.00000e+03 2.26037103e+00
