T(K)        G12/(RT)
1.30000e+03 3.93997591e+01
1.32362e+03 3.82801069e+01
1.34724e+03 3.72007697e+01
1.37085e+03 3.61596443e+01
1.39447e+03 3.51547706e+01
1.41809e+03 3.41843198e+01
1.44171e+03 3.32465835e+01
1.46533e+03 3.23399640e+01
1.48894e+03 3.14629655e+01
1.51256e+03 3.06141861e+01
1.53618e+03 2.97923105e+01
1.55980e+03 2.89961037e+01
1.58342e+03 2.82244046e+01
1.60704e+03 2.74761208e+01
1.63065e+03 2.67502234e+01
1.65427e+03 2.60457429e+01
1.67789e+03 2.53617644e+01
1.70151e+03 2.46974242e+01
1.72513e+03 2.40519063e+01
1.74874e+03 2.34244387e+01
1.77236e+03 2.28142912e+01
1.79598e+03 2.22207720e+01
1.81960e+03 2.16432254e+01
1.84322e+03 2.10810298e+01
1.86683e+03 2.05335949e+01
1.89045e+03 2.00003604e+01
1.91407e+03 1.94807935e+01
1.93769e+03 1.89743878e+01
1.96131e+03 1.84806613e+01
1.98492e+03 1.79991553e+01
2.00854e+03 1.75294325e+01
2.03216e+03 1.70710764e+01
2.05578e+03 1.66236896e+01
2.07940e+03 1.61868927e+01
2.10302e+03 1.57603239e+01
2.12663e+03 1.53436371e+01
2.15025e+03 1.49365018e+01
2.17387e+03 1.45386019e+01
2.19749e+03 1.41496351e+01
2.22111e+03 1.37692951e+01
2.24472e+03 1.33973404e+01
2.26834e+03 1.30334865e+01
2.29196e+03 1.26774789e+01
2.31558e+03 1.23290732e+01
2.33920e+03 1.19880353e+01
2.36281e+03 1.16541404e+01
2.38643e+03 1.13271726e+01
2.41005e+03 1.10069247e+01
2.43367e+03 1.06931975e+01
2.45729e+03 1.03857995e+01
2.48090e+03 1.00845466e+01
2.50452e+03 9.78926171e+00
2.52814e+03 9.49977439e+00
2.55176e+03 9.21592057e+00
2.57538e+03 8.93754221e+00
2.59899e+03 8.66448711e+00
2.62261e+03 8.39660856e+00
2.64623e+03 8.13376513e+00
2.66985e+03 7.87582044e+00
2.69347e+03 7.62264291e+00
2.71709e+03 7.37410560e+00
2.74070e+03 7.13008593e+00
2.76432e+03 6.89046559e+00
2.78794e+03 6.65513025e+00
2.81156e+03 6.42396950e+00
2.83518e+03 6.19687659e+00
2.85879e+03 5.97374835e+00
2.88241e+03 5.75448500e+00
2.90603e+03 5.53899002e+00
2.92965e+03 5.32717002e+00
2.95327e+03 5.11893464e+00
2.97688e+03 4.91419637e+00
3.00050e+03 4.71287049e+00
3.02412e+03 4.51487494e+00
3.04774e+03 4.32013021e+00
3.07136e+03 4.12855926e+00
3.09497e+03 3.94008740e+00
3.11859e+03 3.75464223e+00
3.14221e+03 3.57215352e+00
3.16583e+03 3.39255316e+00
3.18945e+03 3.21577506e+00
3.21307e+03 3.04175508e+00
3.23668e+03 2.87043098e+00
3.26030e+03 2.70174229e+00
3.28392e+03 2.53563033e+00
3.30754e+03 2.37203808e+00
3.33116e+03 2.21091015e+00
3.35477e+03 2.05219272e+00
3.37839e+03 1.89583346e+00
3.40201e+03 1.74178152e+00
3.42563e+03 1.58998745e+00
3.44925e+03 1.44040315e+00
3.47286e+03 1.29298186e+00
3.49648e+03 1.14767805e+00
3.52010e+03 1.00444744e+00
3.54372e+03 8.63246919e-01
3.56734e+03 7.24034538e-01
3.59095e+03 5.86769440e-01
3.61457e+03 4.51411841e-01
3.63819e+03 3.17922993e-01
3.66181e+03 1.86265150e-01
3.68543e+03 5.64015337e-02
3.70905e+03 -7.17036949e-02
3.73266e+03 -1.98085467e-01
3.75628e+03 -3.22777836e-01
3.77990e+03 -4.45814000e-01
3.80352e+03 -5.67226334e-01
3.82714e+03 -6.87046415e-01
3.85075e+03 -8.05305043e-01
3.87437e+03 -9.22032267e-01
3.89799e+03 -1.03725741e+00
3.92161e+03 -1.15100908e+00
3.94523e+03 -1.26331522e+00
3.96884e+03 -1.37420308e+00
3.99246e+03 -1.48369929e+00
4.01608e+03 -1.59182985e+00
4.03970e+03 -1.69862014e+00
4.06332e+03 -1.80409497e+00
4.08693e+03 -1.90827855e+00
4.11055e+03 -2.01119456e+00
4.13417e+03 -2.11286614e+00
4.15779e+03 -2.21331589e+00
4.18141e+03 -2.31256590e+00
4.20503e+03 -2.41063778e+00
4.22864e+03 -2.50755265e+00
4.25226e+03 -2.60333117e+00
4.27588e+03 -2.69799354e+00
4.29950e+03 -2.79155950e+00
4.32312e+03 -2.88404840e+00
4.34673e+03 -2.97547913e+00
4.37035e+03 -3.06587020e+00
4.39397e+03 -3.15523972e+00
4.41759e+03 -3.24360541e+00
4.44121e+03 -3.33098461e+00
4.46482e+03 -3.41739430e+00
4.48844e+03 -3.50285112e+00
4.51206e+03 -3.58737134e+00
4.53568e+03 -3.67097090e+00
4.55930e+03 -3.75366542e+00
4.58291e+03 -3.83547019e+00
4.60653e+03 -3.91640021e+00
4.63015e+03 -3.99647014e+00
4.65377e+03 -4.07569438e+00
4.67739e+03 -4.15408702e+00
4.70101e+03 -4.23166188e+00
4.72462e+03 -4.30843250e+00
4.74824e+03 -4.38441216e+00
4.77186e+03 -4.45961387e+00
4.79548e+03 -4.53405039e+00
4.81910e+03 -4.60773424e+00
4.84271e+03 -4.68067769e+00
4.86633e+03 -4.75289278e+00
4.88995e+03 -4.82439130e+00
4.91357e+03 -4.89518486e+00
4.93719e+03 -4.96528481e+00
4.96080e+03 -5.03470229e+00
4.98442e+03 -5.10344826e+00
5.00804e+03 -5.17153344e+00
5.03166e+03 -5.23896838e+00
5.05528e+03 -5.30576343e+00
5.07889e+03 -5.37192873e+00
5.10251e+03 -5.43747426e+00
5.12613e+03 -5.50240980e+00
5.14975e+03 -5.56674497e+00
5.17337e+03 -5.63048921e+00
5.19698e+03 -5.69365179e+00
5.22060e+03 -5.75624181e+00
5.24422e+03 -5.81826822e+00
5.26784e+03 -5.87973980e+00
5.29146e+03 -5.94066519e+00
5.31508e+03 -6.00105287e+00
5.33869e+03 -6.06091118e+00
5.36231e+03 -6.12024830e+00
5.38593e+03 -6.17907229e+00
5.40955e+03 -6.23739106e+00
5.43317e+03 -6.29521238e+00
5.45678e+03 -6.35254391e+00
5.48040e+03 -6.40939316e+00
5.50402e+03 -6.46576752e+00
5.52764e+03 -6.52167425e+00
5.55126e+03 -6.57712052e+00
5.57487e+03 -6.63211334e+00
5.59849e+03 -6.68665962e+00
5.62211e+03 -6.74076618e+00
5.64573e+03 -6.79443969e+00
5.66935e+03 -6.84768673e+00
5.69296e+03 -6.90051379e+00
5.71658e+03 -6.95292722e+00
5.74020e+03 -7.00493331e+00
5.76382e+03 -7.05653821e+00
5.78744e+03 -7.10774800e+00
5.81106e+03 -7.15856864e+00
5.83467e+03 -7.20900603e+00
5.85829e+03 -7.25906595e+00
5.88191e+03 -7.30875410e+00
5.90553e+03 -7.35807609e+00
5.92915e+03 -7.40703744e+00
5.95276e+03 -7.45564360e+00
5.97638e+03 -7.50389991e+00
6.00000e+03 -7.55181165e+00
