T(K)        G4/(RT)
1.30000e+03 -2.98480563e+01
1.32362e+03 -2.91420345e+01
1.34724e+03 -2.84607668e+01
1.37085e+03 -2.78029739e+01
1.39447e+03 -2.71674630e+01
1.41809e+03 -2.65531208e+01
1.44171e+03 -2.59589069e+01
1.46533e+03 -2.53838481e+01
1.48894e+03 -2.48270328e+01
1.51256e+03 -2.42876064e+01
1.53618e+03 -2.37647668e+01
1.55980e+03 -2.32577607e+01
1.58342e+03 -2.27658795e+01
1.60704e+03 -2.22884563e+01
1.63065e+03 -2.18248630e+01
1.65427e+03 -2.13745071e+01
1.67789e+03 -2.09368297e+01
1.70151e+03 -2.05113029e+01
1.72513e+03 -2.00974275e+01
1.74874e+03 -1.96947315e+01
1.77236e+03 -1.93027680e+01
1.79598e+03 -1.89211135e+01
1.81960e+03 -1.85493667e+01
1.84322e+03 -1.81871466e+01
1.86683e+03 -1.78340918e+01
1.89045e+03 -1.74898586e+01
1.91407e+03 -1.71541205e+01
1.93769e+03 -1.68265669e+01
1.96131e+03 -1.65069022e+01
1.98492e+03 -1.61948446e+01
2.00854e+03 -1.58901259e+01
2.03216e+03 -1.55924902e+01
2.05578e+03 -1.53016933e+01
2.07940e+03 -1.50175023e+01
2.10302e+03 -1.47396945e+01
2.12663e+03 -1.44680573e+01
2.15025e+03 -1.42023874e+01
2.17387e+03 -1.39424902e+01
2.19749e+03 -1.36881797e+01
2.22111e+03 -1.34392775e+01
2.24472e+03 -1.31956131e+01
2.26834e+03 -1.29570228e+01
2.29196e+03 -1.27233497e+01
2.31558e+03 -1.24944433e+01
2.33920e+03 -1.22701594e+01
2.36281e+03 -1.20503592e+01
2.38643e+03 -1.18349097e+01
2.41005e+03 -1.16236829e+01
2.43367e+03 -1.14165559e+01
2.45729e+03 -1.12134105e+01
2.48090e+03 -1.10141329e+01
2.50452e+03 -1.08186138e+01
2.52814e+03 -1.06267478e+01
2.55176e+03 -1.04384335e+01
2.57538e+03 -1.02535732e+01
2.59899e+03 -1.00720726e+01
2.62261e+03 -9.89384107e+00
2.64623e+03 -9.71879104e+00
2.66985e+03 -9.54683807e+00
2.69347e+03 -9.37790069e+00
2.71709e+03 -9.21190027e+00
2.74070e+03 -9.04876087e+00
2.76432e+03 -8.88840917e+00
2.78794e+03 -8.73077432e+00
2.81156e+03 -8.57578784e+00
2.83518e+03 -8.42338355e+00
2.85879e+03 -8.27349746e+00
2.88241e+03 -8.12606766e+00
2.90603e+03 -7.98103427e+00
2.92965e+03 -7.83833932e+00
2.95327e+03 -7.69792671e+00
2.97688e+03 -7.55974212e+00
3.00050e+03 -7.42373294e+00
3.02412e+03 -7.28984819e+00
3.04774e+03 -7.15803850e+00
3.07136e+03 -7.02825598e+00
3.09497e+03 -6.90045423e+00
3.11859e+03 -6.77458824e+00
3.14221e+03 -6.65061437e+00
3.16583e+03 -6.52849028e+00
3.18945e+03 -6.40817485e+00
3.21307e+03 -6.28962822e+00
3.23668e+03 -6.17281166e+00
3.26030e+03 -6.05768757e+00
3.28392e+03 -5.94421943e+00
3.30754e+03 -5.83237178e+00
3.33116e+03 -5.72211014e+00
3.35477e+03 -5.61340101e+00
3.37839e+03 -5.50621184e+00
3.40201e+03 -5.40051097e+00
3.42563e+03 -5.29626761e+00
3.44925e+03 -5.19345183e+00
3.47286e+03 -5.09203450e+00
3.49648e+03 -4.99198727e+00
3.52010e+03 -4.89328258e+00
3.54372e+03 -4.79589358e+00
3.56734e+03 -4.69979414e+00
3.59095e+03 -4.60495881e+00
3.61457e+03 -4.51136281e+00
3.63819e+03 -4.41898201e+00
3.66181e+03 -4.32779289e+00
3.68543e+03 -4.23777255e+00
3.70905e+03 -4.14889865e+00
3.73266e+03 -4.06114943e+00
3.75628e+03 -3.97450368e+00
3.77990e+03 -3.88894072e+00
3.80352e+03 -3.80444036e+00
3.82714e+03 -3.72098295e+00
3.85075e+03 -3.63854929e+00
3.87437e+03 -3.55712066e+00
3.89799e+03 -3.47667878e+00
3.92161e+03 -3.39720584e+00
3.94523e+03 -3.31868442e+00
3.96884e+03 -3.24109755e+00
3.99246e+03 -3.16442864e+00
4.01608e+03 -3.08866148e+00
4.03970e+03 -3.01378027e+00
4.06332e+03 -2.93976956e+00
4.08693e+03 -2.86661425e+00
4.11055e+03 -2.79429961e+00
4.13417e+03 -2.72281121e+00
4.15779e+03 -2.65213499e+00
4.18141e+03 -2.58225717e+00
4.20503e+03 -2.51316431e+00
4.22864e+03 -2.44484326e+00
4.25226e+03 -2.37728115e+00
4.27588e+03 -2.31046541e+00
4.29950e+03 -2.24438373e+00
4.32312e+03 -2.17902409e+00
4.34673e+03 -2.11437472e+00
4.37035e+03 -2.05042409e+00
4.39397e+03 -1.98716096e+00
4.41759e+03 -1.92457427e+00
4.44121e+03 -1.86265326e+00
4.46482e+03 -1.80138734e+00
4.48844e+03 -1.74076619e+00
4.51206e+03 -1.68077967e+00
4.53568e+03 -1.62141787e+00
4.55930e+03 -1.56267108e+00
4.58291e+03 -1.50452980e+00
4.60653e+03 -1.44698471e+00
4.63015e+03 -1.39002669e+00
4.65377e+03 -1.33364679e+00
4.67739e+03 -1.27783627e+00
4.70101e+03 -1.22258654e+00
4.72462e+03 -1.16788918e+00
4.74824e+03 -1.11373597e+00
4.77186e+03 -1.06011881e+00
4.79548e+03 -1.00702979e+00
4.81910e+03 -9.54461138e-01
4.84271e+03 -9.02405247e-01
4.86633e+03 -8.50854648e-01
4.88995e+03 -7.99802021e-01
4.91357e+03 -7.49240184e-01
4.93719e+03 -6.99162094e-01
4.96080e+03 -6.49560841e-01
4.98442e+03 -6.00429647e-01
5.00804e+03 -5.51761863e-01
5.03166e+03 -5.03550961e-01
5.05528e+03 -4.55790539e-01
5.07889e+03 -4.08474312e-01
5.10251e+03 -3.61596113e-01
5.12613e+03 -3.15149885e-01
5.14975e+03 -2.69129687e-01
5.17337e+03 -2.23529682e-01
5.19698e+03 -1.78344143e-01
5.22060e+03 -1.33567445e-01
5.24422e+03 -8.91940623e-02
5.26784e+03 -4.52185715e-02
5.29146e+03 -1.63564449e-03
5.31508e+03 4.15599520e-02
5.33869e+03 8.43733585e-02
5.36231e+03 1.26809625e-01
5.38593e+03 1.68873713e-01
5.40955e+03 2.10570498e-01
5.43317e+03 2.51904768e-01
5.45678e+03 2.92881233e-01
5.48040e+03 3.33504516e-01
5.50402e+03 3.73779166e-01
5.52764e+03 4.13709650e-01
5.55126e+03 4.53300362e-01
5.57487e+03 4.92555620e-01
5.59849e+03 5.31479670e-01
5.62211e+03 5.70076685e-01
5.64573e+03 6.08350770e-01
5.66935e+03 6.46305960e-01
5.69296e+03 6.83946226e-01
5.71658e+03 7.21275470e-01
5.74020e+03 7.58297531e-01
5.76382e+03 7.95016185e-01
5.78744e+03 8.31435147e-01
5.81106e+03 8.67558071e-01
5.83467e+03 9.03388553e-01
5.85829e+03 9.38930128e-01
5.88191e+03 9.74186278e-01
5.90553e+03 1.00916043e+00
5.92915e+03 1.04385594e+00
5.95276e+03 1.07827615e+00
5.97638e+03 1.11242430e+00
6.00000e+03 1.14630361e+00
