T(K)        G17/(RT)
1.30000e+03 1.59847217e+01
1.32362e+03 1.59761373e+01
1.34724e+03 1.59678539e+01
1.37085e+03 1.59598560e+01
1.39447e+03 1.59521289e+01
1.41809e+03 1.59446593e+01
1.44171e+03 1.59374344e+01
1.46533e+03 1.59304424e+01
1.48894e+03 1.59236722e+01
1.51256e+03 1.59171134e+01
1.53618e+03 1.59107563e+01
1.55980e+03 1.59045918e+01
1.58342e+03 1.58986111e+01
1.60704e+03 1.58928062e+01
1.63065e+03 1.58871695e+01
1.65427e+03 1.58816937e+01
1.67789e+03 1.58763721e+01
1.70151e+03 1.58711982e+01
1.72513e+03 1.58661660e+01
1.74874e+03 1.58612697e+01
1.77236e+03 1.58565039e+01
1.79598e+03 1.58518635e+01
1.81960e+03 1.58473435e+01
1.84322e+03 1.58429393e+01
1.86683e+03 1.58386466e+01
1.89045e+03 1.58344612e+01
1.91407e+03 1.58303790e+01
1.93769e+03 1.58263963e+01
1.96131e+03 1.58225096e+01
1.98492e+03 1.58187154e+01
2.00854e+03 1.58150104e+01
2.03216e+03 1.58113915e+01
2.05578e+03 1.58078558e+01
2.07940e+03 1.58044003e+01
2.10302e+03 1.58010225e+01
2.12663e+03 1.57977198e+01
2.15025e+03 1.57944895e+01
2.17387e+03 1.57913295e+01
2.19749e+03 1.57882374e+01
2.22111e+03 1.57852111e+01
2.24472e+03 1.57822484e+01
2.26834e+03 1.57793474e+01
2.29196e+03 1.57765063e+01
2.31558e+03 1.57737230e+01
2.33920e+03 1.57709960e+01
2.36281e+03 1.57683235e+01
2.38643e+03 1.57657039e+01
2.41005e+03 1.57631357e+01
2.43367e+03 1.57606172e+01
2.45729e+03 1.57581472e+01
2.48090e+03 1.57557243e+01
2.50452e+03 1.57533470e+01
2.52814e+03 1.57510142e+01
2.55176e+03 1.57487245e+01
2.57538e+03 1.57464768e+01
2.59899e+03 1.57442700e+01
2.62261e+03 1.57421029e+01
2.64623e+03 1.57399745e+01
2.66985e+03 1.57378838e+01
2.69347e+03 1.57358297e+01
2.71709e+03 1.57338113e+01
2.74070e+03 1.57318278e+01
2.76432e+03 1.57298781e+01
2.78794e+03 1.57279614e+01
2.81156e+03 1.57260770e+01
2.83518e+03 1.57242239e+01
2.85879e+03 1.57224015e+01
2.88241e+03 1.57206089e+01
2.90603e+03 1.57188455e+01
2.92965e+03 1.57171105e+01
2.95327e+03 1.57154033e+01
2.97688e+03 1.57137231e+01
3.00050e+03 1.57120694e+01
