T(K)        G13/(RT)
1.30000e+03 4.30331984e+01
1.32362e+03 4.17264509e+01
1.34724e+03 4.04666945e+01
1.37085e+03 3.92514774e+01
1.39447e+03 3.80785149e+01
1.41809e+03 3.69456751e+01
1.44171e+03 3.58509666e+01
1.46533e+03 3.47925272e+01
1.48894e+03 3.37686133e+01
1.51256e+03 3.27775910e+01
1.53618e+03 3.18179272e+01
1.55980e+03 3.08881825e+01
1.58342e+03 2.99870037e+01
1.60704e+03 2.91131175e+01
1.63065e+03 2.82653249e+01
1.65427e+03 2.74424958e+01
1.67789e+03 2.66435642e+01
1.70151e+03 2.58675234e+01
1.72513e+03 2.51134224e+01
1.74874e+03 2.43803617e+01
1.77236e+03 2.36674901e+01
1.79598e+03 2.29740016e+01
1.81960e+03 2.22991321e+01
1.84322e+03 2.16421571e+01
1.86683e+03 2.10023888e+01
1.89045e+03 2.03791741e+01
1.91407e+03 1.97718924e+01
1.93769e+03 1.91799535e+01
1.96131e+03 1.86027957e+01
1.98492e+03 1.80398845e+01
2.00854e+03 1.74907104e+01
2.03216e+03 1.69547880e+01
2.05578e+03 1.64316541e+01
2.07940e+03 1.59208669e+01
2.10302e+03 1.54220045e+01
2.12663e+03 1.49346639e+01
2.15025e+03 1.44584599e+01
2.17387e+03 1.39930242e+01
2.19749e+03 1.35380044e+01
2.22111e+03 1.30930631e+01
2.24472e+03 1.26578775e+01
2.26834e+03 1.22321381e+01
2.29196e+03 1.18155482e+01
2.31558e+03 1.14078235e+01
2.33920e+03 1.10086911e+01
2.36281e+03 1.06178892e+01
2.38643e+03 1.02351664e+01
2.41005e+03 9.86028116e+00
2.43367e+03 9.49300149e+00
2.45729e+03 9.13310434e+00
2.48090e+03 8.78037520e+00
2.50452e+03 8.43460773e+00
2.52814e+03 8.09560337e+00
2.55176e+03 7.76317094e+00
2.57538e+03 7.43712636e+00
2.59899e+03 7.11729224e+00
2.62261e+03 6.80349769e+00
2.64623e+03 6.49557791e+00
2.66985e+03 6.19337401e+00
2.69347e+03 5.89673272e+00
2.71709e+03 5.60550610e+00
2.74070e+03 5.31955140e+00
2.76432e+03 5.03873074e+00
2.78794e+03 4.76291097e+00
2.81156e+03 4.49196345e+00
2.83518e+03 4.22576384e+00
2.85879e+03 3.96419197e+00
2.88241e+03 3.70713161e+00
2.90603e+03 3.45447035e+00
2.92965e+03 3.20609943e+00
2.95327e+03 2.96191359e+00
2.97688e+03 2.72181094e+00
3.00050e+03 2.48569284e+00
3.02412e+03 2.25346371e+00
3.04774e+03 2.02503099e+00
3.07136e+03 1.80030499e+00
3.09497e+03 1.57919875e+00
3.11859e+03 1.36162798e+00
3.14221e+03 1.14751095e+00
3.16583e+03 9.36768372e-01
3.18945e+03 7.29323331e-01
3.21307e+03 5.25101187e-01
3.23668e+03 3.24029494e-01
3.26030e+03 1.26037919e-01
3.28392e+03 -6.89418321e-02
3.30754e+03 -2.60976091e-01
3.33116e+03 -4.50129295e-01
3.35477e+03 -6.36464054e-01
3.37839e+03 -8.20041217e-01
3.40201e+03 -1.00091993e+00
3.42563e+03 -1.17915770e+00
3.44925e+03 -1.35481045e+00
3.47286e+03 -1.52793257e+00
3.49648e+03 -1.69857697e+00
3.52010e+03 -1.86679514e+00
3.54372e+03 -2.03263717e+00
3.56734e+03 -2.19615183e+00
3.59095e+03 -2.35738661e+00
3.61457e+03 -2.51638773e+00
3.63819e+03 -2.67320021e+00
3.66181e+03 -2.82786792e+00
3.68543e+03 -2.98043356e+00
3.70905e+03 -3.13093878e+00
3.73266e+03 -3.27942416e+00
3.75628e+03 -3.42592922e+00
3.77990e+03 -3.57049253e+00
3.80352e+03 -3.71315169e+00
3.82714e+03 -3.85394334e+00
3.85075e+03 -3.99290325e+00
3.87437e+03 -4.13006630e+00
3.89799e+03 -4.26546652e+00
3.92161e+03 -4.39913712e+00
3.94523e+03 -4.53111051e+00
3.96884e+03 -4.66141833e+00
3.99246e+03 -4.79009146e+00
4.01608e+03 -4.91716007e+00
