T(K)        G14/(RT)
1.30000e+03 2.00553855e+01
1.32362e+03 1.91632069e+01
1.34724e+03 1.83040045e+01
1.37085e+03 1.74760437e+01
1.39447e+03 1.66777083e+01
1.41809e+03 1.59074909e+01
1.44171e+03 1.51639837e+01
1.46533e+03 1.44458705e+01
1.48894e+03 1.37519195e+01
1.51256e+03 1.30809764e+01
1.53618e+03 1.24319588e+01
1.55980e+03 1.18038503e+01
1.58342e+03 1.11956958e+01
1.60704e+03 1.06065971e+01
1.63065e+03 1.00357084e+01
1.65427e+03 9.48223269e+00
1.67789e+03 8.94541839e+00
1.70151e+03 8.42455607e+00
1.72513e+03 7.91897556e+00
1.74874e+03 7.42804331e+00
1.77236e+03 6.95115991e+00
1.79598e+03 6.48775782e+00
1.81960e+03 6.03729932e+00
1.84322e+03 5.59927454e+00
1.86683e+03 5.17319975e+00
1.89045e+03 4.75861563e+00
1.91407e+03 4.35508584e+00
1.93769e+03 3.96219554e+00
1.96131e+03 3.57955013e+00
1.98492e+03 3.20677400e+00
2.00854e+03 2.84350944e+00
2.03216e+03 2.48941557e+00
2.05578e+03 2.14416736e+00
2.07940e+03 1.80745475e+00
2.10302e+03 1.47898178e+00
2.12663e+03 1.15846579e+00
2.15025e+03 8.45636714e-01
2.17387e+03 5.40236375e-01
2.19749e+03 2.42017831e-01
2.22111e+03 -4.92552124e-02
2.24472e+03 -3.33808978e-01
2.26834e+03 -6.11860140e-01
2.29196e+03 -8.83616321e-01
2.31558e+03 -1.14927656e+00
2.33920e+03 -1.40903175e+00
2.36281e+03 -1.66306505e+00
2.38643e+03 -1.91155227e+00
2.41005e+03 -2.15466222e+00
2.43367e+03 -2.39255708e+00
2.45729e+03 -2.62539272e+00
2.48090e+03 -2.85331896e+00
2.50452e+03 -3.07647993e+00
2.52814e+03 -3.29501427e+00
2.55176e+03 -3.50905541e+00
2.57538e+03 -3.71873185e+00
2.59899e+03 -3.92416733e+00
2.62261e+03 -4.12548107e+00
2.64623e+03 -4.32278799e+00
2.66985e+03 -4.51619885e+00
2.69347e+03 -4.70582052e+00
2.71709e+03 -4.89175606e+00
2.74070e+03 -5.07410496e+00
2.76432e+03 -5.25296322e+00
2.78794e+03 -5.42842360e+00
2.81156e+03 -5.60057563e+00
2.83518e+03 -5.76950588e+00
2.85879e+03 -5.93529798e+00
2.88241e+03 -6.09803278e+00
2.90603e+03 -6.25778848e+00
2.92965e+03 -6.41464072e+00
2.95327e+03 -6.56866268e+00
2.97688e+03 -6.71992520e+00
3.00050e+03 -6.86849684e+00
3.02412e+03 -7.01444399e+00
3.04774e+03 -7.15783097e+00
3.07136e+03 -7.29872008e+00
3.09497e+03 -7.43717170e+00
