T(K)        G15/(RT)
1.30000e+03 1.25000760e+01
1.32362e+03 1.25000760e+01
1.34724e+03 1.25000760e+01
1.37085e+03 1.25000760e+01
1.39447e+03 1.25000760e+01
1.41809e+03 1.25000760e+01
1.44171e+03 1.25000760e+01
1.46533e+03 1.25000760e+01
1.48894e+03 1.25000760e+01
1.51256e+03 1.25000760e+01
1.53618e+03 1.25000760e+01
1.55980e+03 1.25000760e+01
1.58342e+03 1.25000760e+01
1.60704e+03 1.25000760e+01
1.63065e+03 1.25000760e+01
1.65427e+03 1.25000760e+01
1.67789e+03 1.25000760e+01
1.70151e+03 1.25000760e+01
1.72513e+03 1.25000760e+01
1.74874e+03 1.25000760e+01
1.77236e+03 1.25000760e+01
1.79598e+03 1.25000760e+01
1.81960e+03 1.25000760e+01
1.84322e+03 1.25000760e+01
1.86683e+03 1.25000760e+01
1.89045e+03 1.25000760e+01
1.91407e+03 1.25000760e+01
1.93769e+03 1.25000760e+01
1.96131e+03 1.25000760e+01
1.98492e+03 1.25000760e+01
2.00854e+03 1.25000760e+01
2.03216e+03 1.25000760e+01
2.05578e+03 1.25000760e+01
2.07940e+03 1.25000760e+01
2.10302e+03 1.25000760e+01
2.12663e+03 1.25000760e+01
2.15025e+03 1.25000760e+01
2.17387e+03 1.25000760e+01
2.19749e+03 1.25000760e+01
2.22111e+03 1.25000760e+01
2.24472e+03 1.25000760e+01
2.26834e+03 1.25000760e+01
2.29196e+03 1.25000760e+01
2.31558e+03 1.25000760e+01
2.33920e+03 1.25000760e+01
2.36281e+03 1.25000760e+01
2.38643e+03 1.25000760e+01
2.41005e+03 1.25000760e+01
2.43367e+03 1.25000760e+01
2.45729e+03 1.25000760e+01
2.48090e+03 1.25000760e+01
2.50452e+03 1.25000857e+01
2.52814e+03 1.25000855e+01
2.55176e+03 1.25000852e+01
2.57538e+03 1.25000849e+01
2.59899e+03 1.25000847e+01
2.62261e+03 1.25000845e+01
2.64623e+03 1.25000844e+01
2.66985e+03 1.25000844e+01
2.69347e+03 1.25000845e+01
2.71709e+03 1.25000847e+01
2.74070e+03 1.25000851e+01
2.76432e+03 1.25000855e+01
2.78794e+03 1.25000862e+01
2.81156e+03 1.25000870e+01
2.83518e+03 1.25000879e+01
2.85879e+03 1.25000890e+01
2.88241e+03 1.25000902e+01
2.90603e+03 1.25000917e+01
2.92965e+03 1.25000933e+01
2.95327e+03 1.25000951e+01
2.97688e+03 1.25000970e+01
3.00050e+03 1.25000992e+01
3.02412e+03 1.25001015e+01
3.04774e+03 1.25001040e+01
3.07136e+03 1.25001067e+01
3.09497e+03 1.25001096e+01
3.11859e+03 1.25001127e+01
3.14221e+03 1.25001160e+01
3.16583e+03 1.25001195e+01
3.18945e+03 1.25001232e+01
3.21307e+03 1.25001272e+01
3.23668e+03 1.25001313e+01
3.26030e+03 1.25001356e+01
3.28392e+03 1.25001402e+01
3.30754e+03 1.25001449e+01
3.33116e+03 1.25001499e+01
3.35477e+03 1.25001551e+01
3.37839e+03 1.25001605e+01
3.40201e+03 1.25001661e+01
3.42563e+03 1.25001719e+01
3.44925e+03 1.25001779e+01
3.47286e+03 1.25001841e+01
3.49648e+03 1.25001905e+01
3.52010e+03 1.25001971e+01
3.54372e+03 1.25002039e+01
3.56734e+03 1.25002109e+01
3.59095e+03 1.25002181e+01
3.61457e+03 1.25002254e+01
3.63819e+03 1.25002329e+01
3.66181e+03 1.25002406e+01
3.68543e+03 1.25002484e+01
3.70905e+03 1.25002563e+01
3.73266e+03 1.25002643e+01
3.75628e+03 1.25002724e+01
3.77990e+03 1.25002807e+01
3.80352e+03 1.25002889e+01
3.82714e+03 1.25002973e+01
3.85075e+03 1.25003057e+01
3.87437e+03 1.25003141e+01
3.89799e+03 1.25003225e+01
3.92161e+03 1.25003308e+01
3.94523e+03 1.25003391e+01
3.96884e+03 1.25003474e+01
3.99246e+03 1.25003555e+01
4.01608e+03 1.25003635e+01
4.03970e+03 1.25003714e+01
4.06332e+03 1.25003790e+01
4.08693e+03 1.25003865e+01
4.11055e+03 1.25003937e+01
4.13417e+03 1.25004006e+01
4.15779e+03 1.25004072e+01
4.18141e+03 1.25004134e+01
4.20503e+03 1.25004192e+01
4.22864e+03 1.25004246e+01
4.25226e+03 1.25004296e+01
4.27588e+03 1.25004339e+01
4.29950e+03 1.25004378e+01
4.32312e+03 1.25004410e+01
4.34673e+03 1.25004435e+01
4.37035e+03 1.25004454e+01
4.39397e+03 1.25004465e+01
4.41759e+03 1.25004467e+01
4.44121e+03 1.25004461e+01
4.46482e+03 1.25004446e+01
4.48844e+03 1.25004422e+01
4.51206e+03 1.25004386e+01
4.53568e+03 1.25004340e+01
4.55930e+03 1.25004283e+01
4.58291e+03 1.25004213e+01
4.60653e+03 1.25004130e+01
4.63015e+03 1.25004034e+01
4.65377e+03 1.25003924e+01
4.67739e+03 1.25003799e+01
4.70101e+03 1.25003658e+01
4.72462e+03 1.25003501e+01
4.74824e+03 1.25003327e+01
4.77186e+03 1.25003136e+01
4.79548e+03 1.25002926e+01
4.81910e+03 1.25002697e+01
4.84271e+03 1.25002448e+01
4.86633e+03 1.25002178e+01
4.88995e+03 1.25001886e+01
4.91357e+03 1.25001572e+01
4.93719e+03 1.25001234e+01
4.96080e+03 1.25000873e+01
4.98442e+03 1.25000486e+01
5.00804e+03 1.25000073e+01
5.03166e+03 1.24999634e+01
5.05528e+03 1.24999166e+01
5.07889e+03 1.24998670e+01
5.10251e+03 1.24998145e+01
5.12613e+03 1.24997588e+01
5.14975e+03 1.24997000e+01
5.17337e+03 1.24996380e+01
5.19698e+03 1.24995726e+01
5.22060e+03 1.24995037e+01
5.24422e+03 1.24994313e+01
5.26784e+03 1.24993552e+01
5.29146e+03 1.24992753e+01
5.31508e+03 1.24991916e+01
5.33869e+03 1.24991038e+01
5.36231e+03 1.24990120e+01
5.38593e+03 1.24989159e+01
5.40955e+03 1.24988156e+01
5.43317e+03 1.24987107e+01
5.45678e+03 1.24986014e+01
5.48040e+03 1.24984874e+01
5.50402e+03 1.24983686e+01
5.52764e+03 1.24982449e+01
5.55126e+03 1.24981161e+01
5.57487e+03 1.24979822e+01
5.59849e+03 1.24978431e+01
5.62211e+03 1.24976986e+01
5.64573e+03 1.24975485e+01
5.66935e+03 1.24973928e+01
5.69296e+03 1.24972314e+01
5.71658e+03 1.24970640e+01
5.74020e+03 1.24968907e+01
5.76382e+03 1.24967111e+01
5.78744e+03 1.24965253e+01
5.81106e+03 1.24963331e+01
5.83467e+03 1.24961343e+01
5.85829e+03 1.24959288e+01
5.88191e+03 1.24957165e+01
5.90553e+03 1.24954972e+01
5.92915e+03 1.24952708e+01
5.95276e+03 1.24950372e+01
5.97638e+03 1.24947961e+01
6.00000e+03 -1.10307268e+01
