T(K)        G10/(RT)
1.30000e+03 -1.62625546e+01
1.32362e+03 -1.58506196e+01
1.34724e+03 -1.54529639e+01
1.37085e+03 -1.50688570e+01
1.39447e+03 -1.46976175e+01
1.41809e+03 -1.43386091e+01
1.44171e+03 -1.39912368e+01
1.46533e+03 -1.36549436e+01
1.48894e+03 -1.33292078e+01
1.51256e+03 -1.30135397e+01
1.53618e+03 -1.27074796e+01
1.55980e+03 -1.24105955e+01
1.58342e+03 -1.21224807e+01
1.60704e+03 -1.18427522e+01
1.63065e+03 -1.15710492e+01
1.65427e+03 -1.13070310e+01
1.67789e+03 -1.10503759e+01
1.70151e+03 -1.08007942e+01
1.72513e+03 -1.05579673e+01
1.74874e+03 -1.03216404e+01
1.77236e+03 -1.00915561e+01
1.79598e+03 -9.86747063e+00
1.81960e+03 -9.64915241e+00
1.84322e+03 -9.43638181e+00
1.86683e+03 -9.22895012e+00
1.89045e+03 -9.02665896e+00
1.91407e+03 -8.82931966e+00
1.93769e+03 -8.63675261e+00
1.96131e+03 -8.44878680e+00
1.98492e+03 -8.26525926e+00
2.00854e+03 -8.08601460e+00
2.03216e+03 -7.91090459e+00
2.05578e+03 -7.73978774e+00
2.07940e+03 -7.57252893e+00
2.10302e+03 -7.40899905e+00
2.12663e+03 -7.24907466e+00
2.15025e+03 -7.09263769e+00
2.17387e+03 -6.93957517e+00
2.19749e+03 -6.78977892e+00
2.22111e+03 -6.64314532e+00
2.24472e+03 -6.49957507e+00
2.26834e+03 -6.35897298e+00
2.29196e+03 -6.22124772e+00
2.31558e+03 -6.08631166e+00
2.33920e+03 -5.95408069e+00
2.36281e+03 -5.82447400e+00
2.38643e+03 -5.69741398e+00
2.41005e+03 -5.57282601e+00
2.43367e+03 -5.45063834e+00
2.45729e+03 -5.33078197e+00
2.48090e+03 -5.21319047e+00
2.50452e+03 -5.09779018e+00
2.52814e+03 -4.98453926e+00
2.55176e+03 -4.87336843e+00
2.57538e+03 -4.76422048e+00
2.59899e+03 -4.65704029e+00
2.62261e+03 -4.55177469e+00
2.64623e+03 -4.44837241e+00
2.66985e+03 -4.34678394e+00
2.69347e+03 -4.24696154e+00
2.71709e+03 -4.14885907e+00
2.74070e+03 -4.05243197e+00
2.76432e+03 -3.95763721e+00
2.78794e+03 -3.86443317e+00
2.81156e+03 -3.77277963e+00
2.83518e+03 -3.68263770e+00
2.85879e+03 -3.59396975e+00
2.88241e+03 -3.50673936e+00
2.90603e+03 -3.42091129e+00
2.92965e+03 -3.33645142e+00
2.95327e+03 -3.25332670e+00
2.97688e+03 -3.17150512e+00
3.00050e+03 -3.09095566e+00
3.02412e+03 -3.01164827e+00
3.04774e+03 -2.93355379e+00
3.07136e+03 -2.85664396e+00
3.09497e+03 -2.78089137e+00
3.11859e+03 -2.70626943e+00
3.14221e+03 -2.63275231e+00
3.16583e+03 -2.56031498e+00
3.18945e+03 -2.48893311e+00
3.21307e+03 -2.41858308e+00
3.23668e+03 -2.34924194e+00
3.26030e+03 -2.28088741e+00
3.28392e+03 -2.21349782e+00
3.30754e+03 -2.14705212e+00
3.33116e+03 -2.08152985e+00
3.35477e+03 -2.01691110e+00
3.37839e+03 -1.95317651e+00
3.40201e+03 -1.89030725e+00
3.42563e+03 -1.82828500e+00
3.44925e+03 -1.76709192e+00
3.47286e+03 -1.70671067e+00
3.49648e+03 -1.64712434e+00
3.52010e+03 -1.58831648e+00
3.54372e+03 -1.53027106e+00
3.56734e+03 -1.47297248e+00
3.59095e+03 -1.41640551e+00
3.61457e+03 -1.36055534e+00
3.63819e+03 -1.30540753e+00
3.66181e+03 -1.25094798e+00
3.68543e+03 -1.19716298e+00
3.70905e+03 -1.14403912e+00
3.73266e+03 -1.09156334e+00
3.75628e+03 -1.03972291e+00
3.77990e+03 -9.88505395e-01
3.80352e+03 -9.37898662e-01
3.82714e+03 -8.87890874e-01
3.85075e+03 -8.38470471e-01
3.87437e+03 -7.89626171e-01
3.89799e+03 -7.41346955e-01
3.92161e+03 -6.93622062e-01
3.94523e+03 -6.46440981e-01
3.96884e+03 -5.99793444e-01
3.99246e+03 -5.53669417e-01
4.01608e+03 -5.08059096e-01
4.03970e+03 -4.62952897e-01
4.06332e+03 -4.18341455e-01
4.08693e+03 -3.74215610e-01
4.11055e+03 -3.30566407e-01
4.13417e+03 -2.87385091e-01
4.15779e+03 -2.44663096e-01
4.18141e+03 -2.02392042e-01
4.20503e+03 -1.60563735e-01
4.22864e+03 -1.19170152e-01
4.25226e+03 -7.82034450e-02
4.27588e+03 -3.76559319e-02
4.29950e+03 2.47990703e-03
4.32312e+03 4.22114337e-02
4.34673e+03 8.15458562e-02
4.37035e+03 1.20490233e-01
4.39397e+03 1.59051477e-01
4.41759e+03 1.97236360e-01
4.44121e+03 2.35051515e-01
4.46482e+03 2.72503440e-01
4.48844e+03 3.09598503e-01
4.51206e+03 3.46342946e-01
4.53568e+03 3.82742883e-01
4.55930e+03 4.18804311e-01
4.58291e+03 4.54533106e-01
4.60653e+03 4.89935030e-01
4.63015e+03 5.25015735e-01
4.65377e+03 5.59780760e-01
4.67739e+03 5.94235540e-01
4.70101e+03 6.28385407e-01
4.72462e+03 6.62235588e-01
4.74824e+03 6.95791215e-01
4.77186e+03 7.29057321e-01
4.79548e+03 7.62038847e-01
4.81910e+03 7.94740641e-01
4.84271e+03 8.27167462e-01
4.86633e+03 8.59323981e-01
4.88995e+03 8.91214783e-01
4.91357e+03 9.22844372e-01
4.93719e+03 9.54217170e-01
4.96080e+03 9.85337517e-01
4.98442e+03 1.01620968e+00
5.00804e+03 1.04683784e+00
5.03166e+03 1.07722613e+00
5.05528e+03 1.10737857e+00
5.07889e+03 1.13729915e+00
5.10251e+03 1.16699176e+00
5.12613e+03 1.19646024e+00
5.14975e+03 1.22570836e+00
5.17337e+03 1.25473982e+00
5.19698e+03 1.28355827e+00
5.22060e+03 1.31216729e+00
5.24422e+03 1.34057040e+00
5.26784e+03 1.36877105e+00
5.29146e+03 1.39677266e+00
5.31508e+03 1.42457857e+00
5.33869e+03 1.45219207e+00
5.36231e+03 1.47961640e+00
5.38593e+03 1.50685475e+00
5.40955e+03 1.53391025e+00
5.43317e+03 1.56078599e+00
5.45678e+03 1.58748499e+00
5.48040e+03 1.61401025e+00
5.50402e+03 1.64036470e+00
5.52764e+03 1.66655124e+00
5.55126e+03 1.69257272e+00
5.57487e+03 1.71843193e+00
5.59849e+03 1.74413163e+00
5.62211e+03 1.76967455e+00
5.64573e+03 1.79506335e+00
5.66935e+03 1.82030067e+00
5.69296e+03 1.84538910e+00
5.71658e+03 1.87033121e+00
5.74020e+03 1.89512950e+00
5.76382e+03 1.91978645e+00
5.78744e+03 1.94430451e+00
5.81106e+03 1.96868608e+00
5.83467e+03 1.99293352e+00
5.85829e+03 2.01704919e+00
5.88191e+03 2.04103537e+00
5.90553e+03 2.06489434e+00
5.92915e+03 2.08862833e+00
5.95276e+03 2.11223955e+00
5.97638e+03 2.13573016e+00
6.00000e+03 -2.13661721e+01
