T(K)        G5/(RT)
1.30000e+03 -5.70743367e+00
1.32362e+03 -5.49091235e+00
1.34724e+03 -5.28230229e+00
1.37085e+03 -5.08118312e+00
1.39447e+03 -4.88716345e+00
1.41809e+03 -4.69987847e+00
1.44171e+03 -4.51898774e+00
1.46533e+03 -4.34417319e+00
1.48894e+03 -4.17513736e+00
1.51256e+03 -4.01160173e+00
1.53618e+03 -3.85330532e+00
1.55980e+03 -3.70000328e+00
1.58342e+03 -3.55146569e+00
1.60704e+03 -3.40747651e+00
1.63065e+03 -3.26783247e+00
1.65427e+03 -3.13234224e+00
1.67789e+03 -3.00082551e+00
1.70151e+03 -2.87309827e+00
1.72513e+03 -2.74903090e+00
1.74874e+03 -2.62845457e+00
1.77236e+03 -2.51122552e+00
1.79598e+03 -2.39720774e+00
1.81960e+03 -2.28627249e+00
1.84322e+03 -2.17829778e+00
1.86683e+03 -2.07316795e+00
1.89045e+03 -1.97077327e+00
1.91407e+03 -1.87100958e+00
1.93769e+03 -1.77377789e+00
1.96131e+03 -1.67898411e+00
1.98492e+03 -1.58653875e+00
2.00854e+03 -1.49635661e+00
2.03216e+03 -1.40835656e+00
2.05578e+03 -1.32246128e+00
2.07940e+03 -1.23859704e+00
2.10302e+03 -1.15669352e+00
2.12663e+03 -1.07668358e+00
2.15025e+03 -9.98503099e-01
2.17387e+03 -9.22090807e-01
2.19749e+03 -8.47388132e-01
2.22111e+03 -7.74339047e-01
2.24472e+03 -7.02889938e-01
2.26834e+03 -6.32989471e-01
2.29196e+03 -5.64588477e-01
2.31558e+03 -4.97639839e-01
2.33920e+03 -4.32098382e-01
2.36281e+03 -3.67920779e-01
2.38643e+03 -3.05065455e-01
2.41005e+03 -2.43492501e-01
2.43367e+03 -1.83163590e-01
2.45729e+03 -1.24041902e-01
2.48090e+03 -6.60920478e-02
2.50452e+03 -9.28000354e-03
2.52814e+03 4.64269564e-02
2.55176e+03 1.01060320e-01
2.57538e+03 1.54650395e-01
2.59899e+03 2.07226363e-01
2.62261e+03 2.58816334e-01
2.64623e+03 3.09447390e-01
2.66985e+03 3.59145636e-01
2.69347e+03 4.07936241e-01
2.71709e+03 4.55843479e-01
2.74070e+03 5.02890771e-01
2.76432e+03 5.49100719e-01
2.78794e+03 5.94495143e-01
