T(K)        G7/(RT)
1.30000e+03 -3.32445088e+01
1.32362e+03 -3.25966163e+01
1.34724e+03 -3.19720812e+01
1.37085e+03 -3.13696733e+01
1.39447e+03 -3.07882467e+01
1.41809e+03 -3.02267329e+01
1.44171e+03 -2.96841345e+01
1.46533e+03 -2.91595189e+01
1.48894e+03 -2.86520138e+01
1.51256e+03 -2.81608021e+01
1.53618e+03 -2.76851177e+01
1.55980e+03 -2.72242414e+01
1.58342e+03 -2.67774979e+01
1.60704e+03 -2.63442520e+01
1.63065e+03 -2.59239060e+01
1.65427e+03 -2.55158969e+01
1.67789e+03 -2.51196940e+01
1.70151e+03 -2.47347686e+01
1.72513e+03 -2.43607094e+01
1.74874e+03 -2.39970351e+01
1.77236e+03 -2.36433222e+01
1.79598e+03 -2.32991699e+01
1.81960e+03 -2.29641983e+01
1.84322e+03 -2.26380476e+01
1.86683e+03 -2.23203764e+01
1.89045e+03 -2.20108607e+01
1.91407e+03 -2.17091928e+01
1.93769e+03 -2.14150801e+01
1.96131e+03 -2.11282446e+01
1.98492e+03 -2.08484213e+01
2.00854e+03 -2.05753584e+01
2.03216e+03 -2.03088156e+01
2.05578e+03 -2.00485640e+01
2.07940e+03 -1.97943852e+01
2.10302e+03 -1.95460709e+01
2.12663e+03 -1.93034219e+01
2.15025e+03 -1.90662482e+01
2.17387e+03 -1.88343680e+01
2.19749e+03 -1.86076075e+01
2.22111e+03 -1.83858005e+01
2.24472e+03 -1.81687877e+01
2.26834e+03 -1.79564167e+01
2.29196e+03 -1.77485414e+01
2.31558e+03 -1.75450217e+01
2.33920e+03 -1.73457234e+01
2.36281e+03 -1.71505175e+01
2.38643e+03 -1.69592806e+01
2.41005e+03 -1.67718936e+01
2.43367e+03 -1.65882427e+01
2.45729e+03 -1.64082182e+01
2.48090e+03 -1.62317147e+01
2.50452e+03 -1.60586308e+01
2.52814e+03 -1.58888691e+01
2.55176e+03 -1.57223356e+01
2.57538e+03 -1.55589400e+01
2.59899e+03 -1.53985953e+01
2.62261e+03 -1.52412177e+01
2.64623e+03 -1.50867263e+01
2.66985e+03 -1.49350432e+01
2.69347e+03 -1.47860933e+01
2.71709e+03 -1.46398041e+01
2.74070e+03 -1.44961057e+01
2.76432e+03 -1.43549305e+01
2.78794e+03 -1.42162133e+01
2.81156e+03 -1.40798911e+01
2.83518e+03 -1.39459032e+01
2.85879e+03 -1.38141906e+01
2.88241e+03 -1.36846965e+01
2.90603e+03 -1.35573659e+01
2.92965e+03 -1.34321457e+01
2.95327e+03 -1.33089845e+01
2.97688e+03 -1.31878323e+01
3.00050e+03 -1.30686410e+01
3.02412e+03 -1.29513639e+01
3.04774e+03 -1.28359559e+01
3.07136e+03 -1.27223731e+01
3.09497e+03 -1.26105730e+01
3.11859e+03 -1.25005146e+01
3.14221e+03 -1.23921580e+01
3.16583e+03 -1.22854645e+01
3.18945e+03 -1.21803965e+01
3.21307e+03 -1.20769178e+01
3.23668e+03 -1.19749930e+01
3.26030e+03 -1.18745879e+01
3.28392e+03 -1.17756691e+01
3.30754e+03 -1.16782044e+01
3.33116e+03 -1.15821624e+01
3.35477e+03 -1.14875127e+01
3.37839e+03 -1.13942256e+01
3.40201e+03 -1.13022724e+01
3.42563e+03 -1.12116251e+01
3.44925e+03 -1.11222566e+01
3.47286e+03 -1.10341404e+01
3.49648e+03 -1.09472508e+01
3.52010e+03 -1.08615629e+01
3.54372e+03 -1.07770522e+01
3.56734e+03 -1.06936952e+01
3.59095e+03 -1.06114688e+01
3.61457e+03 -1.05303507e+01
3.63819e+03 -1.04503189e+01
3.66181e+03 -1.03713522e+01
3.68543e+03 -1.02934300e+01
3.70905e+03 -1.02165320e+01
3.73266e+03 -1.01406388e+01
3.75628e+03 -1.00657310e+01
3.77990e+03 -9.99179016e+00
3.80352e+03 -9.91879803e+00
3.82714e+03 -9.84673690e+00
3.85075e+03 -9.77558952e+00
3.87437e+03 -9.70533906e+00
3.89799e+03 -9.63596908e+00
3.92161e+03 -9.56746359e+00
3.94523e+03 -9.49980696e+00
3.96884e+03 -9.43298395e+00
3.99246e+03 -9.36697968e+00
4.01608e+03 -9.30177966e+00
4.03970e+03 -9.23736970e+00
4.06332e+03 -9.17373600e+00
4.08693e+03 -9.11086504e+00
4.11055e+03 -9.04874365e+00
4.13417e+03 -8.98735895e+00
4.15779e+03 -8.92669838e+00
4.18141e+03 -8.86674965e+00
4.20503e+03 -8.80750078e+00
4.22864e+03 -8.74894003e+00
4.25226e+03 -8.69105597e+00
4.27588e+03 -8.63383739e+00
4.29950e+03 -8.57727336e+00
4.32312e+03 -8.52135319e+00
4.34673e+03 -8.46606642e+00
4.37035e+03 -8.41140284e+00
4.39397e+03 -8.35735245e+00
4.41759e+03 -8.30390548e+00
4.44121e+03 -8.25105237e+00
4.46482e+03 -8.19878378e+00
4.48844e+03 -8.14709056e+00
4.51206e+03 -8.09596376e+00
4.53568e+03 -8.04539464e+00
4.55930e+03 -7.99537462e+00
4.58291e+03 -7.94589532e+00
4.60653e+03 -7.89694853e+00
4.63015e+03 -7.84852624e+00
4.65377e+03 -7.80062057e+00
4.67739e+03 -7.75322382e+00
4.70101e+03 -7.70632848e+00
4.72462e+03 -7.65992714e+00
4.74824e+03 -7.61401260e+00
4.77186e+03 -7.56857777e+00
4.79548e+03 -7.52361572e+00
4.81910e+03 -7.47911966e+00
4.84271e+03 -7.43508294e+00
4.86633e+03 -7.39149904e+00
4.88995e+03 -7.34836159e+00
4.91357e+03 -7.30566432e+00
4.93719e+03 -7.26340110e+00
4.96080e+03 -7.22156593e+00
4.98442e+03 -7.18015291e+00
5.00804e+03 -7.13915627e+00
5.03166e+03 -7.09857036e+00
5.05528e+03 -7.05838963e+00
5.07889e+03 -7.01860865e+00
5.10251e+03 -6.97922206e+00
5.12613e+03 -6.94022466e+00
5.14975e+03 -6.90161131e+00
5.17337e+03 -6.86337698e+00
5.19698e+03 -6.82551675e+00
5.22060e+03 -6.78802577e+00
5.24422e+03 -6.75089930e+00
5.26784e+03 -6.71413268e+00
5.29146e+03 -6.67772136e+00
5.31508e+03 -6.64166084e+00
5.33869e+03 -6.60594673e+00
5.36231e+03 -6.57057473e+00
5.38593e+03 -6.53554059e+00
5.40955e+03 -6.50084016e+00
5.43317e+03 -6.46646937e+00
5.45678e+03 -6.43242422e+00
5.48040e+03 -6.39870077e+00
5.50402e+03 -6.36529518e+00
5.52764e+03 -6.33220365e+00
5.55126e+03 -6.29942248e+00
5.57487e+03 -6.26694802e+00
5.59849e+03 -6.23477668e+00
5.62211e+03 -6.20290496e+00
5.64573e+03 -6.17132939e+00
5.66935e+03 -6.14004658e+00
5.69296e+03 -6.10905322e+00
5.71658e+03 -6.07834602e+00
5.74020e+03 -6.04792178e+00
5.76382e+03 -6.01777734e+00
5.78744e+03 -5.98790960e+00
5.81106e+03 -5.95831553e+00
5.83467e+03 -5.92899213e+00
5.85829e+03 -5.89993646e+00
5.88191e+03 -5.87114564e+00
5.90553e+03 -5.84261684e+00
5.92915e+03 -5.81434727e+00
5.95276e+03 -5.78633420e+00
5.97638e+03 -5.75857493e+00
6.00000e+03 -5.73106682e+00
