T(K)        G16/(RT)
1.30000e+03 1.22369231e+01
1.32362e+03 1.22721298e+01
1.34724e+03 1.23061022e+01
1.37085e+03 1.23389040e+01
1.39447e+03 1.23705946e+01
1.41809e+03 1.24012296e+01
1.44171e+03 1.24308609e+01
1.46533e+03 1.24595370e+01
1.48894e+03 1.24873034e+01
1.51256e+03 1.25142027e+01
1.53618e+03 1.25402748e+01
1.55980e+03 1.25655573e+01
1.58342e+03 1.25900857e+01
1.60704e+03 1.26138931e+01
1.63065e+03 1.26370108e+01
1.65427e+03 1.26594684e+01
1.67789e+03 1.26812938e+01
1.70151e+03 1.27025133e+01
1.72513e+03 1.27231518e+01
1.74874e+03 1.27432328e+01
1.77236e+03 1.27627786e+01
1.79598e+03 1.27818103e+01
1.81960e+03 1.28003480e+01
1.84322e+03 1.28184106e+01
1.86683e+03 1.28360162e+01
1.89045e+03 1.28531818e+01
1.91407e+03 1.28699239e+01
1.93769e+03 1.28862578e+01
1.96131e+03 1.29021983e+01
1.98492e+03 1.29177595e+01
2.00854e+03 1.29329547e+01
2.03216e+03 1.29477967e+01
2.05578e+03 1.29622977e+01
2.07940e+03 1.29764693e+01
2.10302e+03 1.29903226e+01
2.12663e+03 1.30038681e+01
2.15025e+03 1.30171161e+01
2.17387e+03 1.30300763e+01
2.19749e+03 1.30427578e+01
2.22111e+03 1.30551697e+01
2.24472e+03 1.30673203e+01
2.26834e+03 1.30792180e+01
2.29196e+03 1.30908704e+01
2.31558e+03 1.31022852e+01
2.33920e+03 1.31134694e+01
2.36281e+03 1.31244300e+01
2.38643e+03 1.31351737e+01
2.41005e+03 1.31457068e+01
2.43367e+03 1.31560355e+01
2.45729e+03 1.31661656e+01
2.48090e+03 1.31761029e+01
2.50452e+03 1.31858527e+01
2.52814e+03 1.31954204e+01
2.55176e+03 1.32048109e+01
2.57538e+03 1.32140293e+01
2.59899e+03 1.32230800e+01
2.62261e+03 1.32319678e+01
2.64623e+03 1.32406969e+01
2.66985e+03 1.32492716e+01
2.69347e+03 1.32576959e+01
2.71709e+03 1.32659737e+01
2.74070e+03 1.32741089e+01
2.76432e+03 1.32821051e+01
2.78794e+03 1.32899658e+01
2.81156e+03 1.32976944e+01
2.83518e+03 1.33052942e+01
2.85879e+03 1.33127685e+01
2.88241e+03 1.33201203e+01
2.90603e+03 1.33273526e+01
2.92965e+03 1.33344683e+01
2.95327e+03 1.33414701e+01
2.97688e+03 1.33483609e+01
3.00050e+03 1.33551432e+01
3.02412e+03 1.33618195e+01
3.04774e+03 1.33683924e+01
3.07136e+03 1.33748642e+01
3.09497e+03 1.33812372e+01
3.11859e+03 1.33875137e+01
3.14221e+03 1.33936958e+01
3.16583e+03 1.33997857e+01
3.18945e+03 1.34057854e+01
3.21307e+03 1.34116969e+01
3.23668e+03 1.34175221e+01
3.26030e+03 1.34232629e+01
3.28392e+03 1.34289212e+01
3.30754e+03 1.34344986e+01
3.33116e+03 1.34399970e+01
3.35477e+03 1.34454179e+01
3.37839e+03 1.34507631e+01
3.40201e+03 1.34560340e+01
3.42563e+03 1.34612322e+01
3.44925e+03 1.34663593e+01
3.47286e+03 1.34714166e+01
3.49648e+03 1.34764056e+01
3.52010e+03 1.34813276e+01
3.54372e+03 1.34861841e+01
3.56734e+03 1.34909762e+01
3.59095e+03 1.34957053e+01
3.61457e+03 1.35003726e+01
3.63819e+03 1.35049793e+01
3.66181e+03 1.35095266e+01
3.68543e+03 1.35140155e+01
3.70905e+03 1.35184474e+01
3.73266e+03 1.35228231e+01
3.75628e+03 1.35271438e+01
3.77990e+03 1.35314105e+01
3.80352e+03 1.35356243e+01
3.82714e+03 1.35397860e+01
3.85075e+03 1.35438966e+01
3.87437e+03 1.35479572e+01
3.89799e+03 1.35519685e+01
3.92161e+03 1.35559316e+01
3.94523e+03 1.35598472e+01
3.96884e+03 1.35637161e+01
3.99246e+03 1.35675393e+01
4.01608e+03 1.35713176e+01
4.03970e+03 1.35750516e+01
4.06332e+03 1.35787423e+01
4.08693e+03 1.35823903e+01
4.11055e+03 1.35859963e+01
4.13417e+03 1.35895612e+01
4.15779e+03 1.35930856e+01
4.18141e+03 1.35965701e+01
4.20503e+03 1.36000155e+01
4.22864e+03 1.36034225e+01
4.25226e+03 1.36067915e+01
4.27588e+03 1.36101234e+01
4.29950e+03 1.36134187e+01
4.32312e+03 1.36166779e+01
4.34673e+03 1.36199017e+01
4.37035e+03 1.36230907e+01
4.39397e+03 1.36262454e+01
4.41759e+03 1.36293664e+01
4.44121e+03 1.36324542e+01
4.46482e+03 1.36355093e+01
4.48844e+03 1.36385322e+01
4.51206e+03 1.36415236e+01
4.53568e+03 1.36444837e+01
4.55930e+03 1.36474132e+01
4.58291e+03 1.36503125e+01
4.60653e+03 1.36531821e+01
4.63015e+03 1.36560224e+01
4.65377e+03 1.36588338e+01
4.67739e+03 1.36616169e+01
4.70101e+03 1.36643720e+01
4.72462e+03 1.36670996e+01
4.74824e+03 1.36698000e+01
4.77186e+03 1.36724737e+01
4.79548e+03 1.36751210e+01
4.81910e+03 1.36777424e+01
4.84271e+03 1.36803383e+01
4.86633e+03 1.36829089e+01
4.88995e+03 1.36854547e+01
4.91357e+03 1.36879761e+01
4.93719e+03 1.36904733e+01
4.96080e+03 1.36929467e+01
4.98442e+03 1.36953967e+01
5.00804e+03 1.36978236e+01
5.03166e+03 1.37002277e+01
5.05528e+03 1.37026093e+01
5.07889e+03 1.37049688e+01
5.10251e+03 1.37073065e+01
5.12613e+03 1.37096226e+01
5.14975e+03 1.37119174e+01
5.17337e+03 1.37141914e+01
5.19698e+03 1.37164446e+01
5.22060e+03 1.37186774e+01
5.24422e+03 1.37208902e+01
5.26784e+03 1.37230831e+01
5.29146e+03 1.37252564e+01
5.31508e+03 1.37274104e+01
5.33869e+03 1.37295454e+01
5.36231e+03 1.37316615e+01
5.38593e+03 1.37337591e+01
5.40955e+03 1.37358384e+01
5.43317e+03 1.37378996e+01
5.45678e+03 1.37399429e+01
5.48040e+03 1.37419686e+01
5.50402e+03 1.37439770e+01
5.52764e+03 1.37459682e+01
5.55126e+03 1.37479424e+01
5.57487e+03 1.37498999e+01
5.59849e+03 1.37518409e+01
5.62211e+03 1.37537656e+01
5.64573e+03 1.37556742e+01
5.66935e+03 1.37575669e+01
5.69296e+03 1.37594439e+01
5.71658e+03 1.37613054e+01
5.74020e+03 1.37631515e+01
5.76382e+03 1.37649826e+01
5.78744e+03 1.37667986e+01
5.81106e+03 1.37686000e+01
5.83467e+03 1.37703867e+01
5.85829e+03 1.37721590e+01
5.88191e+03 1.37739171e+01
5.90553e+03 1.37756612e+01
5.92915e+03 1.37773913e+01
5.95276e+03 1.37791077e+01
5.97638e+03 1.37808106e+01
6.00000e+03 1.37825000e+01
