T(K)        G8/(RT)
1.30000e+03 -1.56956695e+01
1.32362e+03 -1.52312544e+01
1.34724e+03 -1.47832960e+01
1.37085e+03 -1.43509425e+01
1.39447e+03 -1.39333996e+01
1.41809e+03 -1.35299259e+01
1.44171e+03 -1.31398287e+01
1.46533e+03 -1.27624598e+01
1.48894e+03 -1.23972122e+01
1.51256e+03 -1.20435167e+01
1.53618e+03 -1.17008391e+01
1.55980e+03 -1.13686776e+01
1.58342e+03 -1.10465603e+01
1.60704e+03 -1.07340431e+01
1.63065e+03 -1.04307076e+01
1.65427e+03 -1.01361592e+01
1.67789e+03 -9.85002558e+00
1.70151e+03 -9.57195520e+00
1.72513e+03 -9.30161563e+00
1.74874e+03 -9.03869245e+00
1.77236e+03 -8.78288802e+00
1.79598e+03 -8.53392034e+00
1.81960e+03 -8.29152206e+00
1.84322e+03 -8.05543954e+00
1.86683e+03 -7.82543199e+00
1.89045e+03 -7.60127065e+00
1.91407e+03 -7.38273804e+00
1.93769e+03 -7.16962731e+00
1.96131e+03 -6.96174158e+00
1.98492e+03 -6.75889331e+00
2.00854e+03 -6.56090384e+00
2.03216e+03 -6.36760277e+00
2.05578e+03 -6.17882757e+00
2.07940e+03 -5.99442307e+00
2.10302e+03 -5.81424109e+00
2.12663e+03 -5.63814003e+00
2.15025e+03 -5.46598452e+00
2.17387e+03 -5.29764507e+00
2.19749e+03 -5.13299777e+00
2.22111e+03 -4.97192396e+00
2.24472e+03 -4.81431000e+00
2.26834e+03 -4.66004697e+00
2.29196e+03 -4.50903045e+00
2.31558e+03 -4.36116027e+00
2.33920e+03 -4.21634032e+00
2.36281e+03 -4.07447833e+00
2.38643e+03 -3.93548566e+00
2.41005e+03 -3.79927719e+00
2.43367e+03 -3.66577107e+00
2.45729e+03 -3.53488860e+00
2.48090e+03 -3.40655409e+00
2.50452e+03 -3.28069469e+00
2.52814e+03 -3.15724029e+00
2.55176e+03 -3.03612336e+00
2.57538e+03 -2.91727884e+00
2.59899e+03 -2.80064406e+00
2.62261e+03 -2.68615857e+00
2.64623e+03 -2.57376412e+00
2.66985e+03 -2.46340447e+00
2.69347e+03 -2.35502540e+00
2.71709e+03 -2.24857453e+00
2.74070e+03 -2.14400132e+00
2.76432e+03 -2.04125692e+00
2.78794e+03 -1.94029417e+00
2.81156e+03 -1.84106746e+00
2.83518e+03 -1.74353271e+00
2.85879e+03 -1.64764731e+00
2.88241e+03 -1.55337001e+00
2.90603e+03 -1.46066092e+00
2.92965e+03 -1.36948144e+00
2.95327e+03 -1.27979417e+00
2.97688e+03 -1.19156294e+00
3.00050e+03 -1.10475268e+00
3.02412e+03 -1.01932941e+00
3.04774e+03 -9.35260228e-01
3.07136e+03 -8.52513219e-01
3.09497e+03 -7.71057444e-01
3.11859e+03 -6.90862899e-01
3.14221e+03 -6.11900476e-01
3.16583e+03 -5.34141933e-01
3.18945e+03 -4.57559861e-01
3.21307e+03 -3.82127653e-01
3.23668e+03 -3.07819472e-01
3.26030e+03 -2.34610230e-01
3.28392e+03 -1.62475553e-01
3.30754e+03 -9.13917612e-02
3.33116e+03 -2.13358406e-02
3.35477e+03 4.77145779e-02
3.37839e+03 1.15781243e-01
3.40201e+03 1.82885302e-01
3.42563e+03 2.49047326e-01
3.44925e+03 3.14287325e-01
3.47286e+03 3.78624769e-01
3.49648e+03 4.42078609e-01
3.52010e+03 5.04667289e-01
3.54372e+03 5.66408766e-01
3.56734e+03 6.27320529e-01
3.59095e+03 6.87419607e-01
3.61457e+03 7.46722592e-01
3.63819e+03 8.05245649e-01
3.66181e+03 8.63004530e-01
3.68543e+03 9.20014587e-01
3.70905e+03 9.76290787e-01
3.73266e+03 1.03184772e+00
3.75628e+03 1.08669963e+00
3.77990e+03 1.14086037e+00
3.80352e+03 1.19434351e+00
3.82714e+03 1.24716223e+00
3.85075e+03 1.29932945e+00
3.87437e+03 1.35085773e+00
3.89799e+03 1.40175935e+00
3.92161e+03 1.45204631e+00
3.94523e+03 1.50173032e+00
3.96884e+03 1.55082280e+00
3.99246e+03 1.59933493e+00
4.01608e+03 1.64727761e+00
4.03970e+03 1.69466151e+00
4.06332e+03 1.74149704e+00
4.08693e+03 1.78779438e+00
4.11055e+03 1.83356349e+00
4.13417e+03 1.87881408e+00
4.15779e+03 1.92355568e+00
4.18141e+03 1.96779759e+00
4.20503e+03 2.01154890e+00
4.22864e+03 2.05481852e+00
4.25226e+03 2.09761515e+00
4.27588e+03 2.13994731e+00
4.29950e+03 2.18182334e+00
4.32312e+03 2.22325140e+00
4.34673e+03 2.26423948e+00
4.37035e+03 2.30479539e+00
4.39397e+03 2.34492679e+00
4.41759e+03 2.38464118e+00
4.44121e+03 2.42394589e+00
4.46482e+03 2.46284813e+00
4.48844e+03 2.50135494e+00
4.51206e+03 2.53947322e+00
4.53568e+03 2.57720973e+00
4.55930e+03 2.61457110e+00
4.58291e+03 2.65156383e+00
4.60653e+03 2.68819429e+00
4.63015e+03 2.72446872e+00
4.65377e+03 2.76039323e+00
4.67739e+03 2.79597383e+00
4.70101e+03 2.83121641e+00
4.72462e+03 2.86612675e+00
4.74824e+03 2.90071049e+00
4.77186e+03 2.93497320e+00
4.79548e+03 2.96892033e+00
4.81910e+03 3.00255722e+00
4.84271e+03 3.03588914e+00
4.86633e+03 3.06892122e+00
4.88995e+03 3.10165852e+00
4.91357e+03 3.13410601e+00
4.93719e+03 3.16626856e+00
4.96080e+03 3.19815096e+00
4.98442e+03 3.22975791e+00
5.00804e+03 3.26109402e+00
5.03166e+03 3.29216383e+00
5.05528e+03 3.32297179e+00
5.07889e+03 3.35352227e+00
5.10251e+03 3.38381957e+00
5.12613e+03 3.41386792e+00
5.14975e+03 3.44367147e+00
5.17337e+03 3.47323430e+00
5.19698e+03 3.50256042e+00
5.22060e+03 3.53165377e+00
5.24422e+03 3.56051822e+00
5.26784e+03 3.58915759e+00
5.29146e+03 3.61757563e+00
5.31508e+03 3.64577601e+00
5.33869e+03 3.67376237e+00
5.36231e+03 3.70153826e+00
5.38593e+03 3.72910720e+00
5.40955e+03 3.75647264e+00
5.43317e+03 3.78363796e+00
5.45678e+03 3.81060651e+00
5.48040e+03 3.83738158e+00
5.50402e+03 3.86396640e+00
5.52764e+03 3.89036416e+00
5.55126e+03 3.91657798e+00
5.57487e+03 3.94261096e+00
5.59849e+03 3.96846613e+00
5.62211e+03 3.99414649e+00
5.64573e+03 4.01965497e+00
5.66935e+03 4.04499448e+00
5.69296e+03 4.07016788e+00
5.71658e+03 4.09517798e+00
5.74020e+03 4.12002755e+00
5.76382e+03 4.14471932e+00
5.78744e+03 4.16925598e+00
5.81106e+03 4.19364018e+00
5.83467e+03 4.21787454e+00
5.85829e+03 4.24196163e+00
5.88191e+03 4.26590398e+00
5.90553e+03 4.28970410e+00
5.92915e+03 4.31336445e+00
5.95276e+03 4.33688746e+00
5.97638e+03 4.36027553e+00
6.00000e+03 4.38353102e+00
