T(K)        G11/(RT)
1.30000e+03 3.75533010e+01
1.32362e+03 3.64833320e+01
1.34724e+03 3.54519326e+01
1.37085e+03 3.44570900e+01
1.39447e+03 3.34969282e+01
1.41809e+03 3.25696966e+01
1.44171e+03 3.16737599e+01
1.46533e+03 3.08075886e+01
1.48894e+03 2.99697506e+01
1.51256e+03 2.91589037e+01
1.53618e+03 2.83737888e+01
1.55980e+03 2.76132230e+01
1.58342e+03 2.68760948e+01
1.60704e+03 2.61613580e+01
1.63065e+03 2.54680276e+01
1.65427e+03 2.47951749e+01
1.67789e+03 2.41419240e+01
1.70151e+03 2.35074478e+01
1.72513e+03 2.28909646e+01
1.74874e+03 2.22917355e+01
1.77236e+03 2.17090610e+01
1.79598e+03 2.11422787e+01
1.81960e+03 2.05907607e+01
1.84322e+03 2.00539116e+01
1.86683e+03 1.95311663e+01
1.89045e+03 1.90219880e+01
1.91407e+03 1.85258669e+01
1.93769e+03 1.80423178e+01
1.96131e+03 1.75708793e+01
1.98492e+03 1.71111121e+01
2.00854e+03 1.66625976e+01
2.03216e+03 1.62249369e+01
2.05578e+03 1.57977495e+01
2.07940e+03 1.53806724e+01
2.10302e+03 1.49733589e+01
2.12663e+03 1.45754779e+01
2.15025e+03 1.41867129e+01
2.17387e+03 1.38067614e+01
2.19749e+03 1.34353339e+01
2.22111e+03 1.30721532e+01
2.24472e+03 1.27169542e+01
2.26834e+03 1.23694826e+01
2.29196e+03 1.20294948e+01
2.31558e+03 1.16967571e+01
2.33920e+03 1.13710456e+01
2.36281e+03 1.10521452e+01
2.38643e+03 1.07398494e+01
2.41005e+03 1.04339599e+01
2.43367e+03 1.01342862e+01
2.45729e+03 9.84064506e+00
2.48090e+03 9.55286049e+00
2.50452e+03 9.27076303e+00
2.52814e+03 8.99418966e+00
2.55176e+03 8.72298345e+00
2.57538e+03 8.45699326e+00
2.59899e+03 8.19607352e+00
2.62261e+03 7.94008394e+00
2.64623e+03 7.68888927e+00
2.66985e+03 7.44235911e+00
2.69347e+03 7.20036766e+00
2.71709e+03 6.96279354e+00
2.74070e+03 6.72951960e+00
2.76432e+03 6.50043272e+00
2.78794e+03 6.27542365e+00
2.81156e+03 6.05438684e+00
2.83518e+03 5.83722031e+00
2.85879e+03 5.62382545e+00
2.88241e+03 5.41410695e+00
2.90603e+03 5.20797258e+00
2.92965e+03 5.00533315e+00
2.95327e+03 4.80610234e+00
2.97688e+03 4.61019659e+00
3.00050e+03 4.41753499e+00
3.02412e+03 4.22803919e+00
3.04774e+03 4.04163328e+00
3.07136e+03 3.85824373e+00
3.09497e+03 3.67779925e+00
3.11859e+03 3.50023073e+00
3.14221e+03 3.32547118e+00
3.16583e+03 3.15345560e+00
3.18945e+03 2.98412095e+00
3.21307e+03 2.81740605e+00
3.23668e+03 2.65325153e+00
3.26030e+03 2.49159974e+00
3.28392e+03 2.33239472e+00
3.30754e+03 2.17558211e+00
3.33116e+03 2.02110912e+00
3.35477e+03 1.86892445e+00
3.37839e+03 1.71897823e+00
3.40201e+03 1.57122201e+00
3.42563e+03 1.42560869e+00
3.44925e+03 1.28209244e+00
3.47286e+03 1.14062872e+00
3.49648e+03 1.00117418e+00
3.52010e+03 8.63686660e-01
3.54372e+03 7.28125117e-01
3.56734e+03 5.94449611e-01
3.59095e+03 4.62621259e-01
3.61457e+03 3.32602202e-01
3.63819e+03 2.04355570e-01
3.66181e+03 7.78454517e-02
3.68543e+03 -4.69631386e-02
3.70905e+03 -1.70104289e-01
3.73266e+03 -2.91611219e-01
3.75628e+03 -4.11516308e-01
3.77990e+03 -5.29851121e-01
3.80352e+03 -6.46646435e-01
3.82714e+03 -7.61932262e-01
3.85075e+03 -8.75737875e-01
3.87437e+03 -9.88091828e-01
3.89799e+03 -1.09902198e+00
3.92161e+03 -1.20855552e+00
3.94523e+03 -1.31671897e+00
3.96884e+03 -1.42353824e+00
3.99246e+03 -1.52903860e+00
4.01608e+03 -1.63324474e+00
4.03970e+03 -1.73618076e+00
4.06332e+03 -1.83787021e+00
4.08693e+03 -1.93833609e+00
4.11055e+03 -2.03760085e+00
4.13417e+03 -2.13568646e+00
4.15779e+03 -2.23261437e+00
4.18141e+03 -2.32840553e+00
4.20503e+03 -2.42308046e+00
4.22864e+03 -2.51665919e+00
4.25226e+03 -2.60916130e+00
4.27588e+03 -2.70060595e+00
4.29950e+03 -2.79101189e+00
4.32312e+03 -2.88039743e+00
4.34673e+03 -2.96878052e+00
4.37035e+03 -3.05617869e+00
4.39397e+03 -3.14260910e+00
4.41759e+03 -3.22808856e+00
4.44121e+03 -3.31263351e+00
4.46482e+03 -3.39626004e+00
4.48844e+03 -3.47898392e+00
4.51206e+03 -3.56082056e+00
4.53568e+03 -3.64178509e+00
4.55930e+03 -3.72189229e+00
4.58291e+03 -3.80115665e+00
4.60653e+03 -3.87959239e+00
4.63015e+03 -3.95721339e+00
4.65377e+03 -4.03403331e+00
4.67739e+03 -4.11006548e+00
4.70101e+03 -4.18532299e+00
4.72462e+03 -4.25981869e+00
4.74824e+03 -4.33356513e+00
4.77186e+03 -4.40657465e+00
4.79548e+03 -4.47885934e+00
4.81910e+03 -4.55043105e+00
4.84271e+03 -4.62130141e+00
4.86633e+03 -4.69148181e+00
4.88995e+03 -4.76098343e+00
4.91357e+03 -4.82981726e+00
4.93719e+03 -4.89799405e+00
4.96080e+03 -4.96552436e+00
4.98442e+03 -5.03241856e+00
5.00804e+03 -5.09868682e+00
5.03166e+03 -5.16433911e+00
5.05528e+03 -5.22938525e+00
5.07889e+03 -5.29383484e+00
5.10251e+03 -5.35769733e+00
5.12613e+03 -5.42098200e+00
5.14975e+03 -5.48369794e+00
5.17337e+03 -5.54585412e+00
5.19698e+03 -5.60745930e+00
5.22060e+03 -5.66852212e+00
5.24422e+03 -5.72905104e+00
5.26784e+03 -5.78905441e+00
5.29146e+03 -5.84854040e+00
5.31508e+03 -5.90751704e+00
5.33869e+03 -5.96599225e+00
5.36231e+03 -6.02397378e+00
5.38593e+03 -6.08146926e+00
5.40955e+03 -6.13848621e+00
5.43317e+03 -6.19503199e+00
5.45678e+03 -6.25111386e+00
5.48040e+03 -6.30673894e+00
5.50402e+03 -6.36191424e+00
5.52764e+03 -6.41664667e+00
5.55126e+03 -6.47094300e+00
5.57487e+03 -6.52480991e+00
5.59849e+03 -6.57825394e+00
5.62211e+03 -6.63128157e+00
5.64573e+03 -6.68389913e+00
5.66935e+03 -6.73611288e+00
5.69296e+03 -6.78792896e+00
5.71658e+03 -6.83935343e+00
5.74020e+03 -6.89039224e+00
5.76382e+03 -6.94105125e+00
5.78744e+03 -6.99133624e+00
5.81106e+03 -7.04125287e+00
5.83467e+03 -7.09080674e+00
5.85829e+03 -7.14000336e+00
5.88191e+03 -7.18884815e+00
5.90553e+03 -7.23734645e+00
5.92915e+03 -7.28550350e+00
5.95276e+03 -7.33332450e+00
5.97638e+03 -7.38081453e+00
6.00000e+03 -7.42797863e+00
